Date,Open,High,Low,Close,Adj Close,Volume
1999-01-04,123.375,125.21875,121.71875,123.03125,79.16992950439453,9450400
1999-01-05,122.9375,124.875,122.9375,124.4375,80.0748291015625,8031000
1999-01-06,125.8125,127.75,125.75,127.4375,82.00533294677734,7737700
1999-01-07,126.375,127.21875,125.78125,126.8125,81.60311889648438,5504900
1999-01-08,128.1875,128.5,125.96875,127.75,82.20640563964844,6224400
1999-01-11,127.6875,127.6875,125.21875,126.53125,81.4221420288086,7578300
1999-01-12,126.21875,126.21875,123.75,124.25,79.9542236328125,7768800
1999-01-13,120.40625,125.125,120.375,123.375,79.39109802246094,10810600
1999-01-14,123.625,123.90625,120.90625,121.21875,78.0035629272461,11400700
1999-01-15,122.375,124.78125,122.0625,124.375,80.03460693359375,7817700
1999-01-19,125.296875,125.625,123.5,125.1875,80.55745697021484,6535100
1999-01-20,126.09375,127.9375,125.03125,126.1875,81.20093536376953,6534400
1999-01-21,125.578125,125.84375,122.59375,122.84375,79.0492935180664,6937500
1999-01-22,122.125,123.84375,121.78125,122.5625,78.8682632446289,7522300
1999-01-25,123.28125,124.0,121.90625,123.8125,79.6726303100586,5700300
1999-01-26,124.125,126.0625,123.625,126.0625,81.1205062866211,6047000
1999-01-27,126.375,126.625,124.15625,124.59375,80.17536926269531,7399400
1999-01-28,125.25,126.96875,125.1875,126.6875,81.522705078125,5961700
1999-01-29,127.34375,128.296875,125.40625,127.65625,82.14604949951172,6456800
1999-02-01,128.6875,128.6875,126.90625,126.90625,81.6634292602539,9426800
1999-02-02,127.078125,127.21875,124.765625,126.125,81.16069030761719,9194500
1999-02-03,125.6875,127.9375,125.65625,127.40625,81.98521423339844,10290700
1999-02-04,127.375,127.5,124.78125,125.5,80.75856018066406,7761100
1999-02-05,125.65625,125.65625,123.21875,124.0625,79.8335189819336,7516100
1999-02-08,125.09375,125.09375,123.34375,124.3125,79.99439239501953,8528400
1999-02-09,124.375,124.5,121.515625,121.53125,78.20467376708984,8985700
1999-02-10,122.125,123.0,121.328125,122.3125,78.70742797851562,6936700
1999-02-11,123.0625,126.09375,122.5,125.125,80.51721954345703,9181800
1999-02-12,124.8125,125.5,122.625,123.625,79.55197143554688,10676600
1999-02-16,124.75,125.625,122.875,122.875,79.06937408447266,6915500
1999-02-17,123.1875,125.359375,122.25,122.75,78.98895263671875,7858100
1999-02-18,123.1875,124.375,122.21875,123.71875,79.6123275756836,9048900
1999-02-19,124.0,125.75,123.375,124.25,79.9542236328125,5312200
1999-02-22,124.4375,127.71875,124.28125,127.5625,82.08573150634766,10695800
1999-02-23,127.59375,128.5,126.59375,127.5,82.04552459716797,7770700
1999-02-24,127.84375,128.84375,125.0,125.25,80.59764099121094,7271000
1999-02-25,124.53125,125.28125,122.6875,124.0625,79.8335189819336,11633000
1999-02-26,124.75,124.84375,122.8125,123.5625,79.51177978515625,9621300
1999-03-01,123.65625,124.3125,122.375,123.90625,79.73297882080078,7607200
1999-03-02,124.5,125.3125,122.3125,122.8125,79.02912902832031,9651500
1999-03-03,123.09375,123.5625,121.78125,123.46875,79.45144653320312,7881400
1999-03-04,124.0625,125.484375,123.265625,125.03125,80.45692443847656,8256400
1999-03-05,127.5,128.125,126.5625,127.546875,82.07572174072266,10703100
1999-03-08,128.28125,128.796875,127.25,128.375,82.60858917236328,4802200
1999-03-09,128.125,129.9375,127.75,128.0625,82.40748596191406,7893400
1999-03-10,128.46875,129.25,127.78125,129.1875,83.13140106201172,3950000
1999-03-11,129.6875,131.1875,128.875,130.625,84.05645751953125,6583700
1999-03-12,131.0,131.03125,129.21875,129.375,83.25211334228516,5286500
1999-03-15,129.9375,131.25,129.5,131.21875,84.43852233886719,5394400
1999-03-16,131.125,131.65625,130.46875,130.71875,84.11677551269531,4547500
1999-03-17,130.6875,130.9375,129.625,130.15625,83.75482177734375,4524100
1999-03-18,129.78125,132.375,129.75,132.25,85.10210418701172,3506300
